Customer Billing Account.CustomerBillingAccount.ID,Digital Identity.NetworkCredential.ID (MSISDN),Plan ID,productOffering.planType,Customer Plan Name,productOffering.businessType,productOffering.market segment,productOffering.customerType,Price,Activation Fee,Customer Subscription Start Date,Customer subscription end date,Length of customer relationship (In Months),Subscription Status,Time Since last purchase or engagement (In Months),Party.Party Demographic.PartyDemographicValue.value(Age),Party.Individual.gender,Party.Party Demographic.PartyDemographicValue.value(Income Level),Party.Party Demographic.PartyDemographicValue.value(Education),Individual.maritalStatus (Family Structure),Location.Geographic Place.GeographicState.name,Age Group,VIP Group,No Of Lines,Usage From Period,Usage To Period,Product.Networkproduct.ConsumptionSummary.value (Data Upload (In GB)),Product.Networkproduct.ConsumptionSummary.value (Data Download (In GB)),Product.Networkproduct.ConsumptionSummary.value Voice (in Minutes),Product.Networkproduct.ConsumptionSummary.value (SMS (In Numbers)),Product.Networkproduct.ConsumptionSummary.value (International Roaming Voice (In Minutes),Product.Networkproduct.ConsumptionSummary.value (International Roaming Data Upload (In GB)),Product.Networkproduct.ConsumptionSummary.value (International Romaing Data Download (In GB)),Product.Networkproduct.ConsumptionSummary.value (International Romaing SMS),Product.Networkproduct.ConsumptionSummary.value (Consumed OTT usage (In GB)),Product.Networkproduct.ConsumptionSummary.value (Cloud Storage),"Rating Group (Google, Youtube)",At Risk Customer(Based on usage or behaviour patterns),Number of Compaints Raised,Churn Category,Reason Of Churn,Churn Status,Churn Score,CLTV,Contract,Satisfaction Score (Out of 5)
YEM3-1FGXS,9103740329,POCH044,voice and data,Infinite Ultimate,prepaid,First responders,Family & CUG,50,35,12-May-23,14-Oct-24,17,Inactive,5,50,Male,Medium,College,Married,Rural Texas,Middle Aged,N,1,01-Jan-25,31-Jan-25,18.70,132.13,265,74,0,0.00,0.00,0,21.41,0,Youtube,No,4,Network Quality,Network coverage and speed issues in their location,Churned,80,4822,N,3
THAH-37MAV,9100095719,POCH045,voice and data,5GB Plan,prepaid,General,Individual,40,35,03-May-23,01-Dec-24,19,Inactive,3,38,Male,Medium,Professional,Married,Dallas,Middle Aged,N,3,01-Jan-25,31-Jan-25,12.45,54.05,375,30,49,0.40,2.84,37,14.96,0,Youtube,No,1,Feature Deficiency,Competitor offered better streaming quality and international options,Churned,89,5648,N,3
6V4X-DV34A,9175815141,POCH016,voice and data,Infinite Plus,prepaid,Teachers,Family & CUG,57.5,35,05-Jun-23,16-Aug-24,14,Inactive,7,32,Male,Medium,High School,Married,Los Angeles,Young,N,4,01-Jan-25,31-Jan-25,7.54,31.31,192,12,0,0.00,0.00,0,3.71,0,Youtube,No,4,Price Sensitive,Price sensitivity,Churned,96,4365,N,1
PJ2B-74F1J,9148856780,POCH045,voice and data,5GB Plan,prepaid,General,Individual,40,35,12-Oct-22,27-Oct-24,24,Inactive,5,25,Male,Medium,Professional,Family,Dallas,Young,N,3,01-Jan-25,31-Jan-25,13.03,66.78,493,36,87,0.28,3.96,23,12.08,0,Youtube,No,4,Feature Deficiency,Competitor offered better streaming quality and international options,Churned,81,5707,N,2
308P-53JAL,9180417436,POCH003,voice and data,Infinite Plus,prepaid,General,Family & CUG,55,35,08-Mar-22,06-Oct-24,31,Inactive,5,35,Male,Medium,College,Married,Rural California,Middle Aged,N,1,01-Jan-25,31-Jan-25,28.23,141.15,258,33,0,0.00,0.00,0,17.15,0,Google,No,2,Network Quality,Network coverage and speed issues in their location,Churned,74,3255,N,3
B3VG-J60V1,9112786743,POCH019,voice and data,Infinite Plus,prepaid,First responders,Individual,70,35,17-Jun-22,18-Nov-24,29,Inactive,4,54,Female,High,College,Family,Dallas,Middle Aged,Y,1,01-Jan-25,31-Jan-25,16.76,58.16,758,105,0,0.00,0.00,0,15.05,0,Google,No,10,Customer Service,Multiple unresolved complaints and poor customer service,Churned,89,9516,N,2
E9AI-RK6TT,9137852593,POCH032,voice and data,Infinite Ultimate,prepaid,Students,Family & CUG,67.5,35,17-Dec-23,23-Sep-24,9,Inactive,6,45,Female,High,Professional,Family,Las Vegas,Middle Aged,Y,3,01-Jan-25,31-Jan-25,19.60,95.63,557,159,0,0.00,0.00,0,17.08,0,Google,No,7,Customer Service,Multiple unresolved complaints and poor customer service,Churned,79,7275,N,2
WFE5-LLHLJ,9137831253,POCH001,voice and data,Infinite Plus,prepaid,General,Individual,80,35,20-Jan-23,09-Jul-24,17,Inactive,8,50,Male,Medium,Professional,Family,Rural California,Middle Aged,N,1,01-Jan-25,31-Jan-25,16.95,145.76,297,40,0,0.00,0.00,0,15.17,0,Youtube,No,6,Network Quality,Network coverage and speed issues in their location,Churned,70,3046,N,3
GVPX-MPWZ7,9139771184,POCH043,voice and data,Infinite Ultimate,prepaid,First responders,Family & CUG,56.67,35,31-Mar-22,02-Jul-24,27,Inactive,8,31,Male,Medium,College,Single,Los Angeles,Young,N,2,01-Jan-25,31-Jan-25,5.67,42.65,122,32,0,0.00,0.00,0,0.24,0,Google,No,5,Price Sensitive,Price sensitivity,Churned,84,4220,N,2
MF4T-ZRX64,9185506071,POCH045,voice and data,5GB Plan,prepaid,General,Individual,40,35,22-Feb-23,28-Jan-25,23,Inactive,1,26,Male,Medium,College,Family,Dallas,Young,N,3,01-Jan-25,31-Jan-25,14.28,77.81,243,70,90,0.94,3.98,25,14.32,0,Youtube,No,3,Feature Deficiency,Competitor offered better streaming quality and international options,Churned,80,4234,N,3
ZILT-YGP5A,9199067816,POCH031,voice and data,Infinite Ultimate,prepaid,Students,Individual,80,35,14-Nov-23,18-Oct-24,11,Inactive,5,47,Male,High,College,Married,Los Angeles,Middle Aged,Y,2,01-Jan-25,31-Jan-25,15.10,62.63,612,152,0,0.00,0.00,0,17.98,0,Youtube,No,5,Customer Service,Multiple unresolved complaints and poor customer service,Churned,88,10682,N,2
3XT1-O6H9D,9175661446,POCH010,voice and data,Infinite Plus,prepaid,students,Family & CUG,57.5,35,10-Jun-23,24-Dec-24,18,Inactive,3,41,Male,Medium,College,Family,Rural Texas,Middle Aged,N,3,01-Jan-25,31-Jan-25,29.76,129.90,145,38,0,0.00,0.00,0,29.93,0,Google,No,5,Network Quality,Network coverage and speed issues in their location,Churned,80,4352,N,2
V69Q-JSOKD,9138376392,POCH028,voice and data,Infinite Ultimate,prepaid,Nurses,Family & CUG,67.5,35,19-Nov-22,,28,Active,0,33,Female,Medium,College,Married,Dallas,Young,N,4,01-Jan-25,31-Jan-25,13.46,84.51,308,44,0,0.00,0.00,0,11.62,0,Youtube,Yes,3,,,At Risk,68,3141,N,2
XULN-2ANLR,9183056928,POCH035,voice and data,Infinite Ultimate,prepaid,Military and veterans,Family & CUG,56.67,35,05-Sep-22,,31,Active,0,37,Male,Medium,Professional,Married,Dallas,Middle Aged,N,1,01-Jan-25,31-Jan-25,18.33,61.07,311,48,0,0.00,0.00,0,11.61,0,Youtube,Yes,2,,,At Risk,79,5232,N,3
ROKY-SIFHZ,9136639837,POCH016,voice and data,Infinite Plus,prepaid,Teachers,Family & CUG,57.5,35,26-Nov-23,,16,Active,0,34,Male,Medium,Professional,Married,Las Vegas,Young,N,1,01-Jan-25,31-Jan-25,19.53,98.24,257,41,0,0.00,0.00,0,15.28,0,Youtube,Yes,1,,,At Risk,64,4301,N,3
X79O-DUUQ2,9158538443,POCH029,voice and data,Infinite Ultimate,prepaid,Nurses,Family & CUG,56.67,35,29-Dec-23,,15,Active,0,63,Female,Medium,College,Family,Los Angeles,Senior,N,2,01-Jan-25,31-Jan-25,29.37,83.86,464,78,67,1.85,4.72,43,35.06,0,Google,No,0,,,Not Churned,29,5124,N,5
ZTRW-KM0PZ,9181050232,POCH037,voice and data,Infinite Ultimate,prepaid,Teachers,Individual,80,35,23-Jul-23,,20,Active,0,50,Female,High,College,Family,Los Angeles,Middle Aged,Y,1,01-Jan-25,31-Jan-25,20.04,139.81,363,147,23,0.24,4.26,21,29.95,0,Youtube,No,1,,,Not Churned,22,6225,N,5
Z2JP-D4734,9171344532,POCH027,voice and data,Infinite Ultimate,prepaid,Nurses,Individual,80,35,30-Aug-23,,19,Active,0,55,Male,High,College,Family,Los Angeles,Senior,Y,3,01-Jan-25,31-Jan-25,32.15,164.69,339,52,25,1.28,4.41,39,18.18,0,Google,No,0,,,Not Churned,25,6925,N,5
Z337-4NSFL,9195862858,POCH045,voice and data,5GB Plan,prepaid,General,Individual,40,35,21-Dec-22,01-Dec-24,23,Inactive,3,42,Female,High,Professional,Married,Dallas,Middle Aged,Y,4,01-Jan-25,31-Jan-25,18.79,67.45,257,61,51,0.75,5.21,31,19.86,0,Youtube,No,4,Feature Deficiency,Competitor offered better streaming quality and international options,Churned,90,8296,N,2
RYSA-6BQY3,9103797940,POCH036,voice and data,Infinite Ultimate,prepaid,Military and veterans,Family & CUG,50,35,03-Apr-23,,24,Active,0,39,Female,High,Professional,Family,Los Angeles,Middle Aged,Y,2,01-Jan-25,31-Jan-25,38.38,118.23,456,86,54,1.17,5.63,16,19.80,0,Google,No,1,,,Not Churned,17,9649,N,5
