account_id,msisdn,churn_status,profile_type,insight
SPSS-Z0ZLQ,9163818698,Churned,Price Sensitive,"**Price-Sensitive Churn Insight:** Customer churned from Operator B (Champion)'s ""Infinite Ultimate"" ($50/line) due to price sensitivity. Analysis suggests they likely switched to Operator C's ""$15 Smartphone Plan"" which offers similar basic functionality at a significantly lower price point ($15 vs $50/line)."
5O48-DVEWE,9131042973,Not Churned,Loyal Customer,"**Loyal Customer Insight:** This high-value individual plan customer ($9005 CLTV) shows strong loyalty indicators with excellent satisfaction (4/5) and minimal complaints (1) despite heavy usage across all services. They fully utilize the premium features of Operator B (Champion)'s ""Infinite Plus"" plan including high data consumption (130.42GB), international usage, and extensive OTT streaming (21.21GB), justifying the premium price point. They have not been tempted by Operator A or Operator T's competing family plans."
705S-P21V3,9185130798,Churned,Feature Deficiency,"**Feature Deficiency Churn Insight:** Customer churned from Operator B (Champion)'s ""Infinite Ultimate"" Family & CUG plan due to feature limitations despite acceptable satisfaction score (3/5). Analysis shows heavy international usage (94 minutes, 3.65GB total international data) and high OTT consumption (13.93GB), suggesting they switched to Operator T's ""Go5G Plus 55"" plan which offers better international coverage and streaming quality."
DKHX-6W8G3,9125811886,At Risk,At Risk,"**At-Risk Customer Insight:** This medium-value customer ($5256 CLTV) shows moderate churn risk (Score: 61) despite having no immediate issues. The moderate satisfaction score (2/5) and average complaints (3) indicate potential dissatisfaction with value received for the $70 price point for Operator B (Champion)'s ""Infinite Plus"" plan. Competitor Operator T offers ""Go5G Military"" plan with better military discounts at $30, making this customer vulnerable to targeted competitor offers."
A67V-549FV,9172041042,Churned,Feature Deficiency,"**Feature Deficiency Churn Insight:** Customer churned from Operator B (Champion)'s ""Infinite Ultimate"" Individual plan due to feature limitations despite acceptable satisfaction score (2/5). Analysis shows heavy international usage (40 minutes, 5.68GB total international data) and high OTT consumption (15.23GB), suggesting they switched to Operator T's ""Go5G Plus 55"" plan which offers better international coverage and streaming quality."
2PCS-F3JUS,9154525071,Churned,Network Quality,"**Network Quality Churn Insight:** This high-value customer ($11897 CLTV) churned despite subscribing to Operator B (Champion)'s premium ""Infinite Plus"" plan due to network issues in Rural California. Their extremely high data usage (111.09GB download) and significant OTT consumption (21.46GB) suggests streaming and connectivity problems in their area. They likely switched to Operator T's ""Operator T 5G unlimited"" plan, which has better rural coverage."
OL2L-SL4F9,9174938389,Churned,Price Sensitive,"**Price-Sensitive Churn Insight:** Customer churned from Operator B (Champion)'s ""Infinite Ultimate"" ($90) due to price sensitivity. Analysis suggests they likely switched to Operator C's ""$15 Smartphone Plan"" which offers similar basic functionality at a significantly lower price point ($15 vs $90)."
ANZR-LCHPV,9180316027,Churned,Customer Service,"**Customer Service Churn Insight:** This customer churned primarily due to service quality issues, evidenced by the extremely low satisfaction score (1/5) and high number of complaints (6) over a 28-month relationship. Despite subscribing to Operator B (Champion)'s premium ""Infinite Ultimate"" plan, they likely switched to Operator T's ""Go5G Military"" plan which offers dedicated customer care and comparable features."
ASR7-WMBRS,9138233512,At Risk,At Risk,"**At-Risk Customer Insight:** This medium-value customer ($4063 CLTV) shows moderate churn risk (Score: 71) despite having no immediate issues. The moderate satisfaction score (2/5) and average complaints (1) indicate potential dissatisfaction with value received for the $80 price point for Operator B (Champion)'s ""Infinite Ultimate"" plan. Competitor Operator T offers ""Go5G Military"" plan with better military discounts at $30, making this customer vulnerable to targeted competitor offers."
N0Y0-KRZ8P,9150611995,Churned,Network Quality,"**Network Quality Churn Insight:** This high-value customer ($5544 CLTV) churned despite subscribing to Operator B (Champion)'s premium ""Infinite Ultimate"" plan due to network issues in Rural Texas. Their extremely high data usage (99.38GB download) and significant OTT consumption (26.31GB) suggests streaming and connectivity problems in their area. They likely switched to Operator T's ""Operator T 5G unlimited"" plan, which has better rural coverage."
DTT6-PFG0V,9109238536,Not Churned,Loyal Customer,"**Loyal Customer Insight:** This high-value individual plan customer ($3037 CLTV) shows strong loyalty indicators with excellent satisfaction (4/5) and minimal complaints (1) despite heavy usage across all services. They fully utilize the premium features of Operator B (Champion)'s ""Infinite Ultimate"" plan including high data consumption (178.87GB), international usage, and extensive OTT streaming (36.01GB), justifying the premium price point. They have not been tempted by Operator A or Operator T's competing family plans."
P9EG-GPDH9,9103044334,Churned,Customer Service,"**Customer Service Churn Insight:** This customer churned primarily due to service quality issues, evidenced by the extremely low satisfaction score (1/5) and high number of complaints (9) over a 17-month relationship. Despite subscribing to Operator B (Champion)'s premium ""Infinite Plus"" plan, they likely switched to Operator T's ""Go5G Military"" plan which offers dedicated customer care and comparable features."
BVY5-6HIGT,9110538113,Churned,Network Quality,"**Network Quality Churn Insight:** This high-value customer ($9617 CLTV) churned despite subscribing to Operator B (Champion)'s premium ""Infinite Ultimate"" plan due to network issues in Rural Texas. Their extremely high data usage (121.20GB download) and significant OTT consumption (15.01GB) suggests streaming and connectivity problems in their area. They likely switched to Operator T's ""Operator T 5G unlimited"" plan, which has better rural coverage."
VFFP-71EXQ,9107490787,At Risk,At Risk,"**At-Risk Customer Insight:** This medium-value customer ($5311 CLTV) shows moderate churn risk (Score: 65) despite having no immediate issues. The moderate satisfaction score (3/5) and average complaints (3) indicate potential dissatisfaction with value received for the $50/line price point for Operator B (Champion)'s ""Infinite Ultimate"" plan. Competitor Operator T offers ""Go5G Military"" plan with better military discounts at $30, making this customer vulnerable to targeted competitor offers."
