Customer Billing Account.CustomerBillingAccount.ID,Digital Identity.NetworkCredential.ID (MSISDN),Plan ID,productOffering.planType,Customer Plan Name,productOffering.businessType,productOffering.market segment,productOffering.customerType,Price,Activation Fee,Customer Subscription Start Date,Customer subscription end date,Length of customer relationship (In Months),Subscription Status,Time Since last purchase or engagement (In Months),Party.Party Demographic.PartyDemographicValue.value(Age),Party.Individual.gender,Party.Party Demographic.PartyDemographicValue.value(Income Level),Party.Party Demographic.PartyDemographicValue.value(Education),Individual.maritalStatus (Family Structure),Location.Geographic Place.GeographicState.name,Age Group,VIP Group,No Of Lines,Usage From Period,Usage To Period,Product.Networkproduct.ConsumptionSummary.value (Data Upload (In GB)),Product.Networkproduct.ConsumptionSummary.value (Data Download (In GB)),Product.Networkproduct.ConsumptionSummary.value Voice (in Minutes),Product.Networkproduct.ConsumptionSummary.value (SMS (In Numbers)),Product.Networkproduct.ConsumptionSummary.value (International Roaming Voice (In Minutes),Product.Networkproduct.ConsumptionSummary.value (International Roaming Data Upload (In GB)),Product.Networkproduct.ConsumptionSummary.value (International Romaing Data Download (In GB)),Product.Networkproduct.ConsumptionSummary.value (International Romaing SMS),Product.Networkproduct.ConsumptionSummary.value (Consumed OTT usage (In GB)),Product.Networkproduct.ConsumptionSummary.value (Cloud Storage),"Rating Group (Google, Youtube)",At Risk Customer(Based on usage or behaviour patterns),Number of Compaints Raised,Churn Category,Reason Of Churn,Churn Status,Churn Score,CLTV,Contract,Satisfaction Score (Out of 5)
J9BV-BW9K6,9159379202,POCH027,voice and data,Infinite Ultimate,prepaid,Nurses,Individual,80,35,23-Apr-22,17-Sep-24,29,Inactive,6,37,Male,Medium,College,Married,Los Angeles,Middle Aged,N,4,01-Jan-25,31-Jan-25,17.89,80.49,561,87,0,0.00,0.00,0,13.44,0,Google,No,8,Customer Service,Multiple unresolved complaints and poor customer service,Churned,87,5963,N,2
UMH1-OUJO8,9128668489,POCH042,voice and data,Infinite Ultimate,prepaid,First responders,Family & CUG,67.5,35,29-Oct-22,06-Nov-24,24,Inactive,4,31,Female,Medium,High School,Married,Los Angeles,Young,N,4,01-Jan-25,31-Jan-25,3.44,47.99,80,32,0,0.00,0.00,0,3.21,0,Youtube,No,5,Price Sensitive,Price sensitivity,Churned,72,3177,N,1
FDG8-YKSNJ,9135454829,POCH016,voice and data,Infinite Plus,prepaid,Teachers,Family & CUG,57.5,35,25-Mar-22,24-Aug-24,29,Inactive,7,39,Male,High,College,Family,Rural California,Middle Aged,Y,3,01-Jan-25,31-Jan-25,21.47,132.93,298,34,0,0.00,0.00,0,27.80,0,Youtube,No,4,Network Quality,Network coverage and speed issues in their location,Churned,94,8210,N,2
0LSR-YRM5G,9106446612,POCH012,voice and data,Infinite Plus,prepaid,Military and veterans,Family & CUG,57.5,35,20-Dec-22,14-Dec-24,24,Inactive,3,57,Male,High,College,Married,Los Angeles,Senior,Y,2,01-Jan-25,31-Jan-25,16.23,43.37,474,137,0,0.00,0.00,0,9.07,0,Google,No,5,Customer Service,Multiple unresolved complaints and poor customer service,Churned,87,8780,N,1
W2CL-JZ9OV,9190041690,POCH020,voice and data,Infinite Plus,prepaid,First responders,Family & CUG,57.5,35,18-Apr-23,15-Aug-24,16,Inactive,7,33,Male,Medium,Professional,Married,Las Vegas,Young,N,4,01-Jan-25,31-Jan-25,13.91,62.68,623,125,0,0.00,0.00,0,5.16,0,Google,No,8,Customer Service,Multiple unresolved complaints and poor customer service,Churned,98,4082,N,2
XWAK-BR6PZ,9131069700,POCH006,voice and data,Infinite Plus,prepaid,Nurses,Family & CUG,57.5,35,24-Nov-22,01-Dec-24,24,Inactive,3,37,Male,Medium,College,Family,Rural California,Middle Aged,N,1,01-Jan-25,31-Jan-25,16.65,103.85,151,45,0,0.00,0.00,0,19.64,0,Youtube,No,3,Network Quality,Network coverage and speed issues in their location,Churned,90,5777,N,3
OPW0-ZSFT8,9184000900,POCH028,voice and data,Infinite Ultimate,prepaid,Nurses,Family & CUG,67.5,35,28-May-23,17-Jul-24,13,Inactive,8,35,Male,Medium,College,Single,Dallas,Middle Aged,N,1,01-Jan-25,31-Jan-25,7.45,18.13,105,25,0,0.00,0.00,0,2.80,0,Google,No,3,Price Sensitive,Price sensitivity,Churned,73,5549,N,2
72PP-HWG2O,9187766117,POCH045,voice and data,5GB Plan,prepaid,General,Individual,40,35,31-May-23,08-Jan-25,19,Inactive,2,29,Female,Medium,Professional,Married,Dallas,Young,N,3,01-Jan-25,31-Jan-25,24.67,69.67,239,89,90,1.61,6.16,39,13.48,0,Youtube,No,4,Feature Deficiency,Competitor offered better streaming quality and international options,Churned,74,5575,N,2
2YPG-YCGU3,9151952792,POCH012,voice and data,Infinite Plus,prepaid,Military and veterans,Family & CUG,57.5,35,24-Apr-22,08-Oct-24,29,Inactive,5,33,Male,Medium,College,Married,Dallas,Young,N,4,01-Jan-25,31-Jan-25,7.91,22.43,105,36,0,0.00,0.00,0,2.69,0,Youtube,No,2,Price Sensitive,Price sensitivity,Churned,80,5902,N,3
KPLX-Q3QKY,9110343307,POCH001,voice and data,Infinite Plus,prepaid,General,Individual,80,35,12-Jun-23,15-Jan-25,19,Inactive,2,26,Male,Medium,Professional,Married,Rural Texas,Young,N,4,01-Jan-25,31-Jan-25,21.54,141.81,224,26,0,0.00,0.00,0,19.96,0,Google,No,4,Network Quality,Network coverage and speed issues in their location,Churned,77,3510,N,2
WK83-SAZ01,9181608540,POCH033,voice and data,Infinite Ultimate,prepaid,Military and veterans,Individual,80,35,18-Aug-23,09-Nov-24,14,Inactive,4,53,Female,High,College,Married,Las Vegas,Middle Aged,Y,3,01-Jan-25,31-Jan-25,14.44,59.78,715,71,0,0.00,0.00,0,12.73,0,Google,No,9,Customer Service,Multiple unresolved complaints and poor customer service,Churned,99,11669,N,2
ME6T-OSYRR,9196967780,POCH045,voice and data,5GB Plan,prepaid,General,Individual,40,35,04-Aug-22,17-Sep-24,25,Inactive,6,45,Female,Medium,College,Family,Dallas,Middle Aged,N,4,01-Jan-25,31-Jan-25,15.01,109.31,293,85,70,0.79,6.08,32,24.22,0,Youtube,No,1,Feature Deficiency,Competitor offered better streaming quality and international options,Churned,73,3571,N,2
V3PN-B639T,9102275204,POCH005,voice and data,Infinite Plus,prepaid,Nurses,Individual,70,35,01-Jun-22,,34,Active,0,31,Female,Medium,College,Married,Dallas,Young,N,1,01-Jan-25,31-Jan-25,12.51,67.39,250,63,0,0.00,0.00,0,11.79,0,Google,Yes,3,,,At Risk,60,3299,N,3
2031-IH20W,9116934251,POCH044,voice and data,Infinite Ultimate,prepaid,First responders,Family & CUG,50,35,07-Jan-22,,39,Active,0,40,Male,Medium,Professional,Single,Las Vegas,Middle Aged,N,1,01-Jan-25,31-Jan-25,15.15,54.29,237,74,0,0.00,0.00,0,24.64,0,Google,Yes,1,,,At Risk,61,4966,N,2
L3PC-5ZPUR,9115176595,POCH035,voice and data,Infinite Ultimate,prepaid,Military and veterans,Family & CUG,56.67,35,28-May-22,,34,Active,0,26,Female,Medium,College,Single,Las Vegas,Young,N,3,01-Jan-25,31-Jan-25,14.19,65.02,225,72,0,0.00,0.00,0,14.82,0,Google,Yes,1,,,At Risk,80,5165,N,2
V5TQ-L2ZOG,9171869562,POCH024,voice and data,Infinite Ultimate,prepaid,General,Family & CUG,80,35,22-Feb-23,,25,Active,0,62,Male,High,College,Married,Los Angeles,Senior,Y,2,01-Jan-25,31-Jan-25,34.29,96.37,406,144,36,1.00,1.68,39,16.12,0,Youtube,No,1,,,Not Churned,5,10542,N,4
VF01-7IB4U,9186449530,POCH034,voice and data,Infinite Ultimate,prepaid,Military and veterans,Family & CUG,67.5,35,15-Apr-22,,35,Active,0,50,Female,High,Professional,Family,Los Angeles,Middle Aged,Y,4,01-Jan-25,31-Jan-25,37.33,81.48,620,53,40,1.41,1.31,13,18.76,0,Google,No,0,,,Not Churned,29,6550,N,5
T9PE-LX1R0,9146753473,POCH024,voice and data,Infinite Ultimate,prepaid,General,Family & CUG,80,35,04-Oct-22,,30,Active,0,40,Male,Medium,College,Family,Los Angeles,Middle Aged,N,4,01-Jan-25,31-Jan-25,32.90,137.13,535,177,49,1.54,1.85,14,39.74,0,Google,No,0,,,Not Churned,22,4710,N,5
D8SW-2EXO7,9187809823,POCH027,voice and data,Infinite Ultimate,prepaid,Nurses,Individual,80,35,05-Oct-22,,30,Active,0,46,Male,Medium,Professional,Family,New York,Middle Aged,N,3,01-Jan-25,31-Jan-25,29.16,128.05,370,168,23,0.87,1.04,35,17.39,0,Youtube,No,0,,,Not Churned,14,4288,N,5
16YN-B4I0U,9178875245,POCH010,voice and data,Infinite Plus,prepaid,students,Family & CUG,57.5,35,02-Mar-22,,37,Active,0,35,Female,Medium,Professional,Single,Dallas,Middle Aged,N,3,01-Jan-25,31-Jan-25,19.71,82.33,330,49,0,0.00,0.00,0,19.59,0,Youtube,Yes,3,,,At Risk,70,5225,N,3
XL35-2PSES,9110967594,POCH039,voice and data,Infinite Ultimate,prepaid,Teachers,Family & CUG,56.67,35,13-Nov-23,,16,Active,0,25,Female,Medium,Professional,Married,Dallas,Young,N,4,01-Jan-25,31-Jan-25,15.71,99.54,213,76,0,0.00,0.00,0,20.56,0,Youtube,Yes,2,,,At Risk,70,5970,N,4
MI72-QJ71D,9150367289,POCH032,voice and data,Infinite Ultimate,prepaid,Students,Family & CUG,67.5,35,09-Feb-23,,25,Active,0,26,Male,Medium,College,Married,Dallas,Young,N,4,01-Jan-25,31-Jan-25,11.87,99.45,247,60,0,0.00,0.00,0,16.13,0,Google,Yes,1,,,At Risk,67,3866,N,3
HD0J-5DUJ2,9179257695,POCH012,voice and data,Infinite Plus,prepaid,Military and veterans,Family & CUG,57.5,35,28-Oct-22,,29,Active,0,33,Male,Medium,Professional,Single,Dallas,Young,N,3,01-Jan-25,31-Jan-25,17.83,76.69,329,69,0,0.00,0.00,0,18.49,0,Youtube,Yes,3,,,At Risk,70,4478,N,2
EU9T-MXLHH,9188760446,POCH045,voice and data,5GB Plan,prepaid,General,Individual,40,35,30-Dec-22,22-Nov-24,23,Inactive,4,32,Male,High,College,Family,Dallas,Young,Y,1,01-Jan-25,31-Jan-25,10.75,102.15,300,50,99,1.91,3.62,22,23.08,0,Google,No,1,Feature Deficiency,Competitor offered better streaming quality and international options,Churned,100,8410,N,3
