Customer Billing Account.CustomerBillingAccount.ID,Digital Identity.NetworkCredential.ID (MSISDN),Plan ID,productOffering.planType,Customer Plan Name,productOffering.businessType,productOffering.market segment,productOffering.customerType,Price,Activation Fee,Customer Subscription Start Date,Customer subscription end date,Length of customer relationship (In Months),Subscription Status,Time Since last purchase or engagement (In Months),Party.Party Demographic.PartyDemographicValue.value(Age),Party.Individual.gender,Party.Party Demographic.PartyDemographicValue.value(Income Level),Party.Party Demographic.PartyDemographicValue.value(Education),Individual.maritalStatus (Family Structure),Location.Geographic Place.GeographicState.name,Age Group,VIP Group,No Of Lines,Usage From Period,Usage To Period,Product.Networkproduct.ConsumptionSummary.value (Data Upload (In GB)),Product.Networkproduct.ConsumptionSummary.value (Data Download (In GB)),Product.Networkproduct.ConsumptionSummary.value Voice (in Minutes),Product.Networkproduct.ConsumptionSummary.value (SMS (In Numbers)),Product.Networkproduct.ConsumptionSummary.value (International Roaming Voice (In Minutes),Product.Networkproduct.ConsumptionSummary.value (International Roaming Data Upload (In GB)),Product.Networkproduct.ConsumptionSummary.value (International Romaing Data Download (In GB)),Product.Networkproduct.ConsumptionSummary.value (International Romaing SMS),Product.Networkproduct.ConsumptionSummary.value (Consumed OTT usage (In GB)),Product.Networkproduct.ConsumptionSummary.value (Cloud Storage),"Rating Group (Google, Youtube)",At Risk Customer(Based on usage or behaviour patterns),Number of Compaints Raised,Churn Category,Reason Of Churn,Churn Status,Churn Score,CLTV,Contract,Satisfaction Score (Out of 5)
7BNZ-CUQCV,9159521348,POCH045,voice and data,5GB Plan,prepaid,General,Individual,40,35,06-May-23,11-Aug-24,15,Inactive,7,28,Female,Medium,Professional,Married,New York,Young,N,4,01-Jan-25,31-Jan-25,10.57,87.11,379,43,46,0.29,1.35,31,23.17,0,Youtube,No,3,Feature Deficiency,Competitor offered better streaming quality and international options,Churned,100,4871,N,2
U7K9-M1MHQ,9114948038,POCH031,voice and data,Infinite Ultimate,prepaid,Students,Individual,80,35,21-Oct-23,18-Jul-24,9,Inactive,8,44,Male,High,College,Married,Los Angeles,Middle Aged,Y,2,01-Jan-25,31-Jan-25,11.70,71.90,462,100,0,0.00,0.00,0,12.13,0,Youtube,No,8,Customer Service,Multiple unresolved complaints and poor customer service,Churned,90,9278,N,2
X9RW-2P1UJ,9162936118,POCH045,voice and data,5GB Plan,prepaid,General,Individual,40,35,15-Jul-22,14-Jan-25,30,Inactive,2,32,Female,Medium,Professional,Family,Dallas,Young,N,4,01-Jan-25,31-Jan-25,10.07,68.28,452,34,47,1.12,2.00,33,23.91,0,Google,No,4,Feature Deficiency,Competitor offered better streaming quality and international options,Churned,92,3509,N,3
X7AL-OJ2GE,9186332933,POCH045,voice and data,5GB Plan,prepaid,General,Individual,40,35,12-Oct-22,26-Nov-24,25,Inactive,4,31,Male,High,College,Married,Rural California,Young,Y,4,01-Jan-25,31-Jan-25,19.59,101.22,269,53,0,0.00,0.00,0,28.81,0,Youtube,No,3,Network Quality,Network coverage and speed issues in their location,Churned,75,11600,N,1
BG8E-YBJ0J,9135019175,POCH016,voice and data,Infinite Plus,prepaid,Teachers,Family & CUG,57.5,35,02-Mar-22,14-Dec-24,33,Inactive,3,32,Male,High,Professional,Family,Rural Texas,Young,Y,1,01-Jan-25,31-Jan-25,24.06,80.63,202,39,0,0.00,0.00,0,15.69,0,Google,No,2,Network Quality,Network coverage and speed issues in their location,Churned,89,9041,N,3
7CYZ-55A0W,9131281668,POCH045,voice and data,5GB Plan,prepaid,General,Individual,40,35,01-Feb-22,01-Sep-24,31,Inactive,6,39,Female,High,College,Family,Dallas,Middle Aged,Y,1,01-Jan-25,31-Jan-25,17.91,83.10,387,83,32,1.50,2.05,21,11.00,0,Google,No,2,Feature Deficiency,Competitor offered better streaming quality and international options,Churned,75,7896,N,3
2109-10DPX,9169728009,POCH035,voice and data,Infinite Ultimate,prepaid,Military and veterans,Family & CUG,56.67,35,28-Oct-23,22-Aug-24,9,Inactive,7,30,Female,Medium,College,Married,Dallas,Young,N,1,01-Jan-25,31-Jan-25,8.69,37.06,61,32,0,0.00,0.00,0,3.19,0,Youtube,No,2,Price Sensitive,Price sensitivity,Churned,97,5564,N,1
D585-NUO6B,9150789853,POCH045,voice and data,5GB Plan,prepaid,General,Individual,40,35,27-May-23,20-Jan-25,20,Inactive,2,34,Female,Medium,College,Family,Dallas,Young,N,1,01-Jan-25,31-Jan-25,18.74,117.84,302,76,63,1.24,7.72,17,12.85,0,Youtube,No,1,Feature Deficiency,Competitor offered better streaming quality and international options,Churned,86,5937,N,2
T2A3-71NA5,9109743164,POCH028,voice and data,Infinite Ultimate,prepaid,Nurses,Family & CUG,67.5,35,02-Aug-23,06-Dec-24,16,Inactive,3,34,Female,Medium,College,Married,Dallas,Young,N,4,01-Jan-25,31-Jan-25,18.72,53.10,712,162,0,0.00,0.00,0,5.59,0,Youtube,No,9,Customer Service,Multiple unresolved complaints and poor customer service,Churned,95,5951,N,1
LH89-BIF7R,9185953685,POCH042,voice and data,Infinite Ultimate,prepaid,First responders,Family & CUG,67.5,35,28-Jan-22,28-Aug-24,31,Inactive,7,52,Female,High,Professional,Married,Dallas,Middle Aged,Y,1,01-Jan-25,31-Jan-25,14.10,58.31,499,84,0,0.00,0.00,0,6.37,0,Google,No,6,Customer Service,Multiple unresolved complaints and poor customer service,Churned,89,9328,N,1
