Customer Billing Account.CustomerBillingAccount.ID,Digital Identity.NetworkCredential.ID (MSISDN),Plan ID,productOffering.planType,Customer Plan Name,productOffering.businessType,productOffering.market segment,productOffering.customerType,Price,Activation Fee,Customer Subscription Start Date,Customer subscription end date,Length of customer relationship (In Months),Subscription Status,Time Since last purchase or engagement (In Months),Party.Party Demographic.PartyDemographicValue.value(Age),Party.Individual.gender,Party.Party Demographic.PartyDemographicValue.value(Income Level),Party.Party Demographic.PartyDemographicValue.value(Education),Individual.maritalStatus (Family Structure),Location.Geographic Place.GeographicState.name,Age Group,VIP Group,No Of Lines,Usage From Period,Usage To Period,Product.Networkproduct.ConsumptionSummary.value (Data Upload (In GB)),Product.Networkproduct.ConsumptionSummary.value (Data Download (In GB)),Product.Networkproduct.ConsumptionSummary.value Voice (in Minutes),Product.Networkproduct.ConsumptionSummary.value (SMS (In Numbers)),Product.Networkproduct.ConsumptionSummary.value (International Roaming Voice (In Minutes),Product.Networkproduct.ConsumptionSummary.value (International Roaming Data Upload (In GB)),Product.Networkproduct.ConsumptionSummary.value (International Romaing Data Download (In GB)),Product.Networkproduct.ConsumptionSummary.value (International Romaing SMS),Product.Networkproduct.ConsumptionSummary.value (Consumed OTT usage (In GB)),Product.Networkproduct.ConsumptionSummary.value (Cloud Storage),"Rating Group (Google, Youtube)",At Risk Customer(Based on usage or behaviour patterns),Number of Compaints Raised,Churn Category,Reason Of Churn,Churn Status,Churn Score,CLTV,Contract,Satisfaction Score (Out of 5)
80QI-JEYE2,9189623600,POCH045,voice and data,5GB Plan,prepaid,General,Individual,40,35,23-Sep-23,28-Aug-24,11,Inactive,7,25,Male,High,College,Married,New York,Young,Y,3,01-Jan-25,31-Jan-25,18.33,50.71,242,73,64,1.30,6.08,31,24.90,0,Youtube,No,3,Feature Deficiency,Competitor offered better streaming quality and international options,Churned,72,7697,N,3
LNYE-FI0LJ,9169221678,POCH019,voice and data,Infinite Plus,prepaid,First responders,Individual,70,35,21-Feb-22,23-Nov-24,33,Inactive,4,56,Male,Medium,College,Family,Los Angeles,Senior,N,4,01-Jan-25,31-Jan-25,15.66,47.86,636,162,0,0.00,0.00,0,15.89,0,Google,No,6,Customer Service,Multiple unresolved complaints and poor customer service,Churned,76,3004,N,1
P90H-GJ87V,9194761218,POCH010,voice and data,Infinite Plus,prepaid,students,Family & CUG,57.5,35,30-Oct-23,13-Jul-24,8,Inactive,8,44,Male,High,College,Family,Rural California,Middle Aged,Y,4,01-Jan-25,31-Jan-25,22.40,126.79,218,34,0,0.00,0.00,0,20.27,0,Google,No,5,Network Quality,Network coverage and speed issues in their location,Churned,85,6094,N,1
I7K0-24ZO3,9186148967,POCH034,voice and data,Infinite Ultimate,prepaid,Military and veterans,Family & CUG,67.5,35,20-Dec-22,27-Sep-24,21,Inactive,6,41,Male,Medium,College,Married,Las Vegas,Middle Aged,N,2,01-Jan-25,31-Jan-25,18.15,59.99,754,117,0,0.00,0.00,0,17.25,0,Youtube,No,9,Customer Service,Multiple unresolved complaints and poor customer service,Churned,99,4795,N,1
RNHN-ZEP78,9102770177,POCH016,voice and data,Infinite Plus,prepaid,Teachers,Family & CUG,57.5,35,03-Dec-22,27-Aug-24,21,Inactive,7,49,Male,Medium,Professional,Family,Dallas,Middle Aged,N,3,01-Jan-25,31-Jan-25,19.68,76.38,610,130,0,0.00,0.00,0,5.83,0,Google,No,10,Customer Service,Multiple unresolved complaints and poor customer service,Churned,79,5739,N,2
97X4-ZCCHT,9164687134,POCH037,voice and data,Infinite Ultimate,prepaid,Teachers,Individual,80,35,07-Dec-23,16-Sep-24,9,Inactive,6,51,Male,Medium,Professional,Family,Los Angeles,Middle Aged,N,3,01-Jan-25,31-Jan-25,18.33,43.55,605,161,0,0.00,0.00,0,5.43,0,Youtube,No,7,Customer Service,Multiple unresolved complaints and poor customer service,Churned,73,4930,N,1
0B5X-GVDOP,9112748710,POCH005,voice and data,Infinite Plus,prepaid,Nurses,Individual,70,35,01-Dec-22,09-Jun-24,18,Inactive,9,26,Female,Medium,High School,Single,Dallas,Young,N,2,01-Jan-25,31-Jan-25,4.79,41.20,182,37,0,0.00,0.00,0,2.31,0,Youtube,No,3,Price Sensitive,Price sensitivity,Churned,91,4039,N,1
ZUYS-W7UY4,9194262333,POCH045,voice and data,5GB Plan,prepaid,General,Individual,40,35,06-Mar-22,28-Nov-24,33,Inactive,4,45,Female,High,College,Married,New York,Middle Aged,Y,1,01-Jan-25,31-Jan-25,24.02,115.86,335,47,88,0.93,4.75,32,10.31,0,Google,No,4,Feature Deficiency,Competitor offered better streaming quality and international options,Churned,71,6618,N,3
VVS8-NKUH4,9145802304,POCH045,voice and data,5GB Plan,prepaid,General,Individual,40,35,07-Nov-22,03-Dec-24,25,Inactive,3,45,Female,High,College,Family,New York,Middle Aged,Y,2,01-Jan-25,31-Jan-25,15.90,97.12,281,50,61,0.37,6.32,36,24.25,0,Youtube,No,2,Feature Deficiency,Competitor offered better streaming quality and international options,Churned,81,10151,N,2
DMKL-0G7YK,9164327363,POCH039,voice and data,Infinite Ultimate,prepaid,Teachers,Family & CUG,56.67,35,28-Sep-23,07-Nov-24,13,Inactive,4,44,Male,High,College,Family,Las Vegas,Middle Aged,Y,4,01-Jan-25,31-Jan-25,15.10,90.16,403,175,0,0.00,0.00,0,12.05,0,Youtube,No,7,Customer Service,Multiple unresolved complaints and poor customer service,Churned,76,8209,N,2
