Customer Billing Account.CustomerBillingAccount.ID,Digital Identity.NetworkCredential.ID (MSISDN),Plan ID,productOffering.planType,Customer Plan Name,productOffering.businessType,productOffering.market segment,productOffering.customerType,Price,Activation Fee,Customer Subscription Start Date,Customer subscription end date,Length of customer relationship (In Months),Subscription Status,Time Since last purchase or engagement (In Months),Party.Party Demographic.PartyDemographicValue.value(Age),Party.Individual.gender,Party.Party Demographic.PartyDemographicValue.value(Income Level),Party.Party Demographic.PartyDemographicValue.value(Education),Individual.maritalStatus (Family Structure),Location.Geographic Place.GeographicState.name,Age Group,VIP Group,No Of Lines,Usage From Period,Usage To Period,Product.Networkproduct.ConsumptionSummary.value (Data Upload (In GB)),Product.Networkproduct.ConsumptionSummary.value (Data Download (In GB)),Product.Networkproduct.ConsumptionSummary.value Voice (in Minutes),Product.Networkproduct.ConsumptionSummary.value (SMS (In Numbers)),Product.Networkproduct.ConsumptionSummary.value (International Roaming Voice (In Minutes),Product.Networkproduct.ConsumptionSummary.value (International Roaming Data Upload (In GB)),Product.Networkproduct.ConsumptionSummary.value (International Romaing Data Download (In GB)),Product.Networkproduct.ConsumptionSummary.value (International Romaing SMS),Product.Networkproduct.ConsumptionSummary.value (Consumed OTT usage (In GB)),Product.Networkproduct.ConsumptionSummary.value (Cloud Storage),"Rating Group (Google, Youtube)",At Risk Customer(Based on usage or behaviour patterns),Number of Compaints Raised,Churn Category,Reason Of Churn,Churn Status,Churn Score,CLTV,Contract,Satisfaction Score (Out of 5)
9AE8-VE6VI,9183309267,POCH031,voice and data,Infinite Ultimate,prepaid,Students,Individual,80,35,13-Jan-23,,26,Active,0,28,Female,Medium,Professional,Single,Las Vegas,Young,N,4,01-Jan-25,31-Jan-25,17.96,91.47,330,63,0,0.00,0.00,0,10.99,0,Google,Yes,1,,,At Risk,65,4108,N,2
KG4P-P6CTU,9193360901,POCH011,voice and data,Infinite Plus,prepaid,Military and veterans,Individual,70,35,24-Dec-23,,15,Active,0,36,Male,Medium,Professional,Married,Dallas,Middle Aged,N,2,01-Jan-25,31-Jan-25,19.91,53.73,309,75,0,0.00,0.00,0,18.89,0,Youtube,Yes,3,,,At Risk,77,5339,N,2
IDQF-EW451,9157526136,POCH030,voice and data,Infinite Ultimate,prepaid,Nurses,Family & CUG,50/line,35,19-Jan-23,,26,Active,0,54,Male,Medium,Professional,Family,Los Angeles,Middle Aged,N,4,01-Jan-25,31-Jan-25,32.02,76.83,452,60,77,1.84,6.31,13,22.26,0,Google,No,0,,,Not Churned,10,5568,N,5
WDC6-9TJN4,9103207194,POCH045,voice and data,5GB Plan,prepaid,General,Individual,40,35,18-Dec-23,,15,Active,0,64,Male,High,Professional,Family,Los Angeles,Senior,Y,4,01-Jan-25,31-Jan-25,19.38,128.82,675,159,33,1.45,3.29,16,19.43,0,Youtube,No,1,,,Not Churned,15,8749,N,5
FLD0-6T8SI,9119956278,POCH011,voice and data,Infinite Plus,prepaid,Military and veterans,Individual,70,35,05-Aug-22,08-Aug-24,24,Inactive,7,31,Male,Medium,High School,Single,Dallas,Young,N,2,01-Jan-25,31-Jan-25,5.51,46.19,179,16,0,0.00,0.00,0,0.71,0,Google,No,3,Price Sensitive,Price sensitivity,Churned,92,5906,N,2
D4U4-51I7R,9186847528,POCH023,voice and data,Infinite Ultimate,prepaid,General,Individual,90,35,02-Nov-22,12-Jul-24,20,Inactive,8,33,Male,Medium,Professional,Married,Rural California,Young,N,4,01-Jan-25,31-Jan-25,22.10,99.50,269,45,0,0.00,0.00,0,17.07,0,Google,No,5,Network Quality,Network coverage and speed issues in their location,Churned,98,5820,N,2
9LON-EOLSX,9164819536,POCH031,voice and data,Infinite Ultimate,prepaid,Students,Individual,80,35,01-Sep-23,20-Jan-25,16,Inactive,2,42,Female,Medium,College,Family,Dallas,Middle Aged,N,1,01-Jan-25,31-Jan-25,15.72,89.74,493,74,51,1.34,5.30,34,11.49,0,Youtube,No,3,Feature Deficiency,Competitor offered better streaming quality and international options,Churned,71,3273,N,2
YDTO-2ZHVB,9188732476,POCH023,voice and data,Infinite Ultimate,prepaid,General,Individual,90,35,10-Nov-23,,16,Active,0,30,Male,Medium,College,Married,Las Vegas,Young,N,1,01-Jan-25,31-Jan-25,14.06,73.78,329,67,0,0.00,0.00,0,17.31,0,Google,Yes,2,,,At Risk,63,3492,N,4
MLDO-VL958,9140148594,POCH011,voice and data,Infinite Plus,prepaid,Military and veterans,Individual,70,35,30-Mar-22,,36,Active,0,41,Male,High,College,Family,Los Angeles,Middle Aged,Y,4,01-Jan-25,31-Jan-25,24.96,121.79,409,86,85,0.46,1.70,20,39.40,0,Google,No,0,,,Not Churned,15,10847,N,4
U3QI-PLHTH,9197626975,POCH030,voice and data,Infinite Ultimate,prepaid,Nurses,Family & CUG,50/line,35,18-Jan-23,22-Nov-24,22,Inactive,4,29,Female,Medium,College,Single,Los Angeles,Young,N,1,01-Jan-25,31-Jan-25,5.97,41.36,63,24,0,0.00,0.00,0,3.14,0,Google,No,2,Price Sensitive,Price sensitivity,Churned,81,4072,N,3
UITQ-K8JN7,9147959926,POCH031,voice and data,Infinite Ultimate,prepaid,Students,Individual,80,35,06-Oct-23,13-Aug-24,10,Inactive,7,48,Male,Medium,Professional,Married,Rural California,Middle Aged,N,1,01-Jan-25,31-Jan-25,28.22,84.43,274,77,0,0.00,0.00,0,15.12,0,Google,No,2,Network Quality,Network coverage and speed issues in their location,Churned,92,3095,N,2
8KIS-F7NPQ,9130289860,POCH011,voice and data,Infinite Plus,prepaid,Military and veterans,Individual,70,35,27-Jan-22,04-Dec-24,34,Inactive,3,45,Female,High,Professional,Married,Rural California,Middle Aged,Y,2,01-Jan-25,31-Jan-25,15.86,106.80,130,46,0,0.00,0.00,0,29.94,0,Youtube,No,6,Network Quality,Network coverage and speed issues in their location,Churned,86,8438,N,3
X9DB-6VKFM,9177502196,POCH030,voice and data,Infinite Ultimate,prepaid,Nurses,Family & CUG,50/line,35,04-Oct-22,20-Nov-24,25,Inactive,4,44,Female,High,College,Family,Dallas,Middle Aged,Y,4,01-Jan-25,31-Jan-25,18.13,91.05,428,195,0,0.00,0.00,0,11.56,0,Google,No,7,Customer Service,Multiple unresolved complaints and poor customer service,Churned,97,6510,N,2
