Customer Billing Account.CustomerBillingAccount.ID,Digital Identity.NetworkCredential.ID (MSISDN),Plan ID,productOffering.planType,Customer Plan Name,productOffering.businessType,productOffering.market segment,productOffering.customerType,Price,Activation Fee,Customer Subscription Start Date,Customer subscription end date,Length of customer relationship (In Months),Subscription Status,Time Since last purchase or engagement (In Months),Party.Party Demographic.PartyDemographicValue.value(Age),Party.Individual.gender,Party.Party Demographic.PartyDemographicValue.value(Income Level),Party.Party Demographic.PartyDemographicValue.value(Education),Individual.maritalStatus (Family Structure),Location.Geographic Place.GeographicState.name,Age Group,VIP Group,No Of Lines,Usage From Period,Usage To Period,Product.Networkproduct.ConsumptionSummary.value (Data Upload (In GB)),Product.Networkproduct.ConsumptionSummary.value (Data Download (In GB)),Product.Networkproduct.ConsumptionSummary.value Voice (in Minutes),Product.Networkproduct.ConsumptionSummary.value (SMS (In Numbers)),Product.Networkproduct.ConsumptionSummary.value (International Roaming Voice (In Minutes),Product.Networkproduct.ConsumptionSummary.value (International Roaming Data Upload (In GB)),Product.Networkproduct.ConsumptionSummary.value (International Romaing Data Download (In GB)),Product.Networkproduct.ConsumptionSummary.value (International Romaing SMS),Product.Networkproduct.ConsumptionSummary.value (Consumed OTT usage (In GB)),Product.Networkproduct.ConsumptionSummary.value (Cloud Storage),"Rating Group (Google, Youtube)",At Risk Customer(Based on usage or behaviour patterns),Number of Compaints Raised,Churn Category,Reason Of Churn,Churn Status,Churn Score,CLTV,Contract,Satisfaction Score (Out of 5)
SPSS-Z0ZLQ,9163818698,POCH030,voice and data,Infinite Ultimate,prepaid,Nurses,Family & CUG,50/line,35,26-Oct-22,13-Aug-24,21,Inactive,7,21,Male,Medium,High School,Married,Dallas,Young,N,3,01-Jan-25,31-Jan-25,5.48,44.19,153,37,0,0.00,0.00,0,0.01,0,Google,No,2,Price Sensitive,Price sensitivity,Churned,100,3694,N,2
5O48-DVEWE,9131042973,POCH011,voice and data,Infinite Plus,prepaid,Military and veterans,Individual,70,35,03-Sep-23,,19,Active,0,36,Male,High,Professional,Family,New York,Middle Aged,Y,4,01-Jan-25,31-Jan-25,31.25,130.42,328,189,35,0.63,5.24,44,21.21,0,Google,No,1,,,Not Churned,18,9005,N,4
705S-P21V3,9185130798,POCH030,voice and data,Infinite Ultimate,prepaid,Nurses,Family & CUG,50/line,35,08-Jun-23,12-Nov-24,17,Inactive,4,43,Female,Medium,College,Married,Dallas,Middle Aged,N,3,01-Jan-25,31-Jan-25,14.15,74.71,218,67,94,1.65,2.00,48,13.93,0,Google,No,4,Feature Deficiency,Competitor offered better streaming quality and international options,Churned,87,5899,N,3
DKHX-6W8G3,9125811886,POCH011,voice and data,Infinite Plus,prepaid,Military and veterans,Individual,70,35,18-Feb-23,,25,Active,0,31,Male,Medium,College,Single,Dallas,Young,N,1,01-Jan-25,31-Jan-25,11.80,63.85,361,77,0,0.00,0.00,0,13.40,0,Youtube,Yes,3,,,At Risk,61,5256,N,2
A67V-549FV,9172041042,POCH031,voice and data,Infinite Ultimate,prepaid,Students,Individual,80,35,10-Dec-23,25-Sep-24,9,Inactive,6,34,Male,High,Professional,Married,New York,Young,Y,4,01-Jan-25,31-Jan-25,19.67,95.17,436,79,40,0.31,5.37,20,15.23,0,Youtube,No,3,Feature Deficiency,Competitor offered better streaming quality and international options,Churned,95,7597,N,2
2PCS-F3JUS,9154525071,POCH008,voice and data,Infinite Plus,prepaid,Nurses,Family & CUG,40/line,35,26-Mar-23,12-Aug-24,16,Inactive,7,46,Female,High,College,Married,Rural California,Middle Aged,Y,4,01-Jan-25,31-Jan-25,21.90,111.09,181,33,0,0.00,0.00,0,21.46,0,Youtube,No,6,Network Quality,Network coverage and speed issues in their location,Churned,76,11897,N,2
OL2L-SL4F9,9174938389,POCH023,voice and data,Infinite Ultimate,prepaid,General,Individual,90,35,13-Jan-22,02-Jun-24,29,Inactive,9,31,Male,Medium,High School,Single,Dallas,Young,N,1,01-Jan-25,31-Jan-25,8.94,38.33,110,42,0,0.00,0.00,0,4.38,0,Google,No,2,Price Sensitive,Price sensitivity,Churned,83,3010,N,1
ANZR-LCHPV,9180316027,POCH031,voice and data,Infinite Ultimate,prepaid,Students,Individual,80,35,17-Feb-22,25-Jun-24,28,Inactive,9,52,Female,Medium,Professional,Married,Los Angeles,Middle Aged,N,1,01-Jan-25,31-Jan-25,10.46,44.98,720,133,0,0.00,0.00,0,14.00,0,Google,No,6,Customer Service,Multiple unresolved complaints and poor customer service,Churned,96,3835,N,1
ASR7-WMBRS,9138233512,POCH031,voice and data,Infinite Ultimate,prepaid,Students,Individual,80,35,08-Feb-23,,25,Active,0,32,Female,Medium,Professional,Married,Las Vegas,Young,N,1,01-Jan-25,31-Jan-25,17.15,90.56,270,67,0,0.00,0.00,0,21.20,0,Google,Yes,1,,,At Risk,71,4063,N,2
N0Y0-KRZ8P,9150611995,POCH030,voice and data,Infinite Ultimate,prepaid,Nurses,Family & CUG,50/line,35,19-Feb-23,22-Jan-25,23,Inactive,2,29,Male,Medium,Professional,Married,Rural Texas,Young,N,2,01-Jan-25,31-Jan-25,27.23,99.38,254,53,0,0.00,0.00,0,26.31,0,Youtube,No,2,Network Quality,Network coverage and speed issues in their location,Churned,94,5544,N,3
DTT6-PFG0V,9109238536,POCH031,voice and data,Infinite Ultimate,prepaid,Students,Individual,80,35,12-Jun-22,,34,Active,0,42,Female,Medium,Professional,Married,New York,Middle Aged,N,2,01-Jan-25,31-Jan-25,24.68,178.87,468,60,26,1.87,5.68,35,36.01,0,Youtube,No,1,,,Not Churned,19,3037,N,4
P9EG-GPDH9,9103044334,POCH008,voice and data,Infinite Plus,prepaid,Nurses,Family & CUG,40/line,35,11-Mar-23,09-Aug-24,17,Inactive,7,58,Female,High,Professional,Family,Los Angeles,Senior,Y,1,01-Jan-25,31-Jan-25,16.64,90.61,646,174,0,0.00,0.00,0,15.67,0,Youtube,No,9,Customer Service,Multiple unresolved complaints and poor customer service,Churned,77,9996,N,1
BVY5-6HIGT,9110538113,POCH023,voice and data,Infinite Ultimate,prepaid,General,Individual,90,35,03-Mar-22,02-Nov-24,32,Inactive,4,48,Male,High,College,Married,Rural Texas,Middle Aged,Y,1,01-Jan-25,31-Jan-25,21.87,121.20,176,80,0,0.00,0.00,0,15.01,0,Youtube,No,4,Network Quality,Network coverage and speed issues in their location,Churned,75,9617,N,3
VFFP-71EXQ,9107490787,POCH030,voice and data,Infinite Ultimate,prepaid,Nurses,Family & CUG,50/line,35,08-Feb-22,,38,Active,0,32,Female,Medium,College,Single,Dallas,Young,N,4,01-Jan-25,31-Jan-25,11.46,72.09,205,69,0,0.00,0.00,0,20.09,0,Google,Yes,3,,,At Risk,65,5311,N,3
DJ64-7GYV6,9111981091,POCH030,voice and data,Infinite Ultimate,prepaid,Nurses,Family & CUG,50/line,35,03-Nov-22,,29,Active,0,36,Male,Medium,College,Married,Los Angeles,Middle Aged,N,1,01-Jan-25,31-Jan-25,18.13,130.38,370,50,64,0.88,7.76,46,15.59,0,Google,No,0,,,Not Churned,15,5874,N,5
VSVI-S97EJ,9150470072,POCH008,voice and data,Infinite Plus,prepaid,Nurses,Family & CUG,40/line,35,30-Oct-22,01-Dec-24,25,Inactive,3,29,Male,High,College,Married,New York,Young,Y,3,01-Jan-25,31-Jan-25,11.71,106.05,435,74,97,0.97,1.86,20,14.46,0,Google,No,3,Feature Deficiency,Competitor offered better streaming quality and international options,Churned,88,9265,N,3
LX0O-5XNYQ,9169014331,POCH031,voice and data,Infinite Ultimate,prepaid,Students,Individual,80,35,21-May-23,23-Aug-24,15,Inactive,7,43,Male,High,Professional,Married,Dallas,Middle Aged,Y,3,01-Jan-25,31-Jan-25,15.81,106.13,305,60,54,1.08,2.59,27,15.71,0,Google,No,2,Feature Deficiency,Competitor offered better streaming quality and international options,Churned,72,11362,N,3
ZHQR-IW67P,9107084360,POCH030,voice and data,Infinite Ultimate,prepaid,Nurses,Family & CUG,50/line,35,29-Aug-23,23-Jan-25,17,Inactive,2,30,Female,High,College,Married,New York,Young,Y,1,01-Jan-25,31-Jan-25,11.10,72.54,329,34,51,0.29,7.00,34,24.34,0,Google,No,3,Feature Deficiency,Competitor offered better streaming quality and international options,Churned,93,11309,N,2
CIX6-J8Z4S,9184291542,POCH023,voice and data,Infinite Ultimate,prepaid,General,Individual,90,35,04-Nov-22,07-Jul-24,20,Inactive,8,28,Male,High,Professional,Married,New York,Young,Y,4,01-Jan-25,31-Jan-25,22.49,66.49,254,94,52,1.90,3.25,31,24.38,0,Youtube,No,3,Feature Deficiency,Competitor offered better streaming quality and international options,Churned,88,6236,N,2
31HY-4LJEV,9151874830,POCH031,voice and data,Infinite Ultimate,prepaid,Students,Individual,80,35,10-Mar-23,,24,Active,0,37,Male,Medium,College,Single,Las Vegas,Middle Aged,N,1,01-Jan-25,31-Jan-25,16.42,93.98,214,70,0,0.00,0.00,0,11.51,0,Google,Yes,2,,,At Risk,69,5066,N,4
