account_id,msisdn,churn_status,profile_type,insight
87JP-VF6EL,9107966555,At Risk,At Risk,"**At-Risk Customer Insight:** This medium-value customer ($4610 CLTV) shows moderate churn risk (Score: 65) despite having no immediate issues. The moderate satisfaction score (2/5) and average complaints (1) indicate potential dissatisfaction with value received for the $90 price point for Operator B (Champion)'s ""Infinite Ultimate"" plan. Competitor Operator T offers ""Go5G Military"" plan with better military discounts at $30, making this customer vulnerable to targeted competitor offers."
21AA-S04RA,9100268133,Churned,Customer Service,"**Customer Service Churn Insight:** This customer churned primarily due to service quality issues, evidenced by the extremely low satisfaction score (1/5) and high number of complaints (10) over a 16-month relationship. Despite subscribing to Operator B (Champion)'s premium ""Infinite Ultimate"" plan, they likely switched to Operator T's ""Go5G Military"" plan which offers dedicated customer care and comparable features."
QUTV-8O7NX,9137089459,Churned,Network Quality,"**Network Quality Churn Insight:** This high-value customer ($4884 CLTV) churned despite subscribing to Operator B (Champion)'s premium ""Infinite Plus"" plan due to network issues in Rural Texas. Their extremely high data usage (139.52GB download) and significant OTT consumption (27.67GB) suggests streaming and connectivity problems in their area. They likely switched to Operator T's ""Operator T 5G unlimited"" plan, which has better rural coverage."
UIIM-XUQGB,9104224154,Churned,Feature Deficiency,"**Feature Deficiency Churn Insight:** Customer churned from Operator B (Champion)'s ""5GB Plan"" Individual plan due to feature limitations despite acceptable satisfaction score (2/5). Analysis shows heavy international usage (37 minutes, 7.96GB total international data) and high OTT consumption (14.51GB), suggesting they switched to Operator T's ""Go5G Plus 55"" plan which offers better international coverage and streaming quality."
66TK-VPCAT,9180018552,Churned,Price Sensitive,"**Price-Sensitive Churn Insight:** Customer churned from Operator B (Champion)'s ""Infinite Ultimate"" ($90) due to price sensitivity. Analysis suggests they likely switched to Operator C's ""$15 Smartphone Plan"" which offers similar basic functionality at a significantly lower price point ($15 vs $90)."
UIFR-J4W46,9130588875,Churned,Network Quality,"**Network Quality Churn Insight:** This high-value customer ($7523 CLTV) churned despite subscribing to Operator B (Champion)'s premium ""5GB Plan"" plan due to network issues in Rural California. Their extremely high data usage (136.69GB download) and significant OTT consumption (15.03GB) suggests streaming and connectivity problems in their area. They likely switched to Operator T's ""Operator T 5G unlimited"" plan, which has better rural coverage."
MCLU-916TT,9178653881,Churned,Network Quality,"**Network Quality Churn Insight:** This high-value customer ($8235 CLTV) churned despite subscribing to Operator B (Champion)'s premium ""Infinite Ultimate"" plan due to network issues in Rural Texas. Their extremely high data usage (108.57GB download) and significant OTT consumption (17.20GB) suggests streaming and connectivity problems in their area. They likely switched to Operator T's ""Operator T 5G unlimited"" plan, which has better rural coverage."
GLNF-W85M4,9173234989,Not Churned,Loyal Customer,"**Loyal Customer Insight:** This high-value individual plan customer ($10680 CLTV) shows strong loyalty indicators with excellent satisfaction (5/5) and minimal complaints (0) despite heavy usage across all services. They fully utilize the premium features of Operator B (Champion)'s ""Infinite Ultimate"" plan including high data consumption (119.71GB), international usage, and extensive OTT streaming (17.59GB), justifying the premium price point. They have not been tempted by Operator A or Operator T's competing family plans."
P36H-OPWLV,9100319434,At Risk,At Risk,"**At-Risk Customer Insight:** This medium-value customer ($5908 CLTV) shows moderate churn risk (Score: 72) despite having no immediate issues. The moderate satisfaction score (2/5) and average complaints (2) indicate potential dissatisfaction with value received for the $40/line price point for Operator B (Champion)'s ""Infinite Plus"" plan. Competitor Operator T offers ""Go5G Military"" plan with better military discounts at $30, making this customer vulnerable to targeted competitor offers."
U759-A7XLI,9128819892,At Risk,At Risk,"**At-Risk Customer Insight:** This medium-value customer ($3809 CLTV) shows moderate churn risk (Score: 74) despite having no immediate issues. The moderate satisfaction score (3/5) and average complaints (1) indicate potential dissatisfaction with value received for the $90 price point for Operator B (Champion)'s ""Infinite Ultimate"" plan. Competitor Operator T offers ""Go5G Military"" plan with better military discounts at $30, making this customer vulnerable to targeted competitor offers."
PNS9-FXT38,9191260069,Churned,Customer Service,"**Customer Service Churn Insight:** This customer churned primarily due to service quality issues, evidenced by the extremely low satisfaction score (2/5) and high number of complaints (5) over a 17-month relationship. Despite subscribing to Operator B (Champion)'s premium ""5GB Plan"" plan, they likely switched to Operator T's ""Go5G Military"" plan which offers dedicated customer care and comparable features."
UVWH-4JNP8,9142187747,Churned,Network Quality,"**Network Quality Churn Insight:** This high-value customer ($3273 CLTV) churned despite subscribing to Operator B (Champion)'s premium ""Infinite Ultimate"" plan due to network issues in Rural California. Their extremely high data usage (132.26GB download) and significant OTT consumption (15.94GB) suggests streaming and connectivity problems in their area. They likely switched to Operator T's ""Operator T 5G unlimited"" plan, which has better rural coverage."
6CKJ-DW90P,9177940943,At Risk,At Risk,"**At-Risk Customer Insight:** This medium-value customer ($4429 CLTV) shows moderate churn risk (Score: 76) despite having no immediate issues. The moderate satisfaction score (4/5) and average complaints (3) indicate potential dissatisfaction with value received for the $40/line price point for Operator B (Champion)'s ""Infinite Plus"" plan. Competitor Operator T offers ""Go5G Military"" plan with better military discounts at $30, making this customer vulnerable to targeted competitor offers."
53AB-7HMGK,9104093612,Churned,Network Quality,"**Network Quality Churn Insight:** This high-value customer ($9771 CLTV) churned despite subscribing to Operator B (Champion)'s premium ""Infinite Ultimate"" plan due to network issues in Rural Texas. Their extremely high data usage (132.79GB download) and significant OTT consumption (24.41GB) suggests streaming and connectivity problems in their area. They likely switched to Operator T's ""Operator T 5G unlimited"" plan, which has better rural coverage."
2XDM-BS3AF,9137366445,Churned,Price Sensitive,"**Price-Sensitive Churn Insight:** Customer churned from Operator B (Champion)'s ""Infinite Ultimate"" ($90) due to price sensitivity. Analysis suggests they likely switched to Operator C's ""$15 Smartphone Plan"" which offers similar basic functionality at a significantly lower price point ($15 vs $90)."
PF5I-M2331,9151443920,Not Churned,Loyal Customer,"**Loyal Customer Insight:** This high-value individual plan customer ($9550 CLTV) shows strong loyalty indicators with excellent satisfaction (4/5) and minimal complaints (1) despite heavy usage across all services. They fully utilize the premium features of Operator B (Champion)'s ""Infinite Ultimate"" plan including high data consumption (152.11GB), international usage, and extensive OTT streaming (33.65GB), justifying the premium price point. They have not been tempted by Operator A or Operator T's competing family plans."
DFZA-5JFLC,9166269089,Not Churned,Loyal Customer,"**Loyal Customer Insight:** This high-value individual plan customer ($4348 CLTV) shows strong loyalty indicators with excellent satisfaction (4/5) and minimal complaints (0) despite heavy usage across all services. They fully utilize the premium features of Operator B (Champion)'s ""5GB Plan"" plan including high data consumption (182.32GB), international usage, and extensive OTT streaming (23.02GB), justifying the premium price point. They have not been tempted by Operator A or Operator T's competing family plans."
OV4Z-5KXB7,9121842441,Churned,Customer Service,"**Customer Service Churn Insight:** This customer churned primarily due to service quality issues, evidenced by the extremely low satisfaction score (1/5) and high number of complaints (6) over a 28-month relationship. Despite subscribing to Operator B (Champion)'s premium ""Infinite Ultimate"" plan, they likely switched to Operator T's ""Go5G Military"" plan which offers dedicated customer care and comparable features."
XA80-L3XKJ,9170929285,Churned,Network Quality,"**Network Quality Churn Insight:** This high-value customer ($4087 CLTV) churned despite subscribing to Operator B (Champion)'s premium ""Infinite Plus"" plan due to network issues in Rural Texas. Their extremely high data usage (89.54GB download) and significant OTT consumption (19.55GB) suggests streaming and connectivity problems in their area. They likely switched to Operator T's ""Operator T 5G unlimited"" plan, which has better rural coverage."
G0GZ-TUVYF,9171024888,At Risk,At Risk,"**At-Risk Customer Insight:** This medium-value customer ($4344 CLTV) shows moderate churn risk (Score: 62) despite having no immediate issues. The moderate satisfaction score (3/5) and average complaints (1) indicate potential dissatisfaction with value received for the $40/line price point for Operator B (Champion)'s ""Infinite Plus"" plan. Competitor Operator T offers ""Go5G Military"" plan with better military discounts at $30, making this customer vulnerable to targeted competitor offers."
