Customer Billing Account.CustomerBillingAccount.ID,Digital Identity.NetworkCredential.ID (MSISDN),Plan ID,productOffering.planType,Customer Plan Name,productOffering.businessType,productOffering.market segment,productOffering.customerType,Price,Activation Fee,Customer Subscription Start Date,Customer subscription end date,Length of customer relationship (In Months),Subscription Status,Time Since last purchase or engagement (In Months),Party.Party Demographic.PartyDemographicValue.value(Age),Party.Individual.gender,Party.Party Demographic.PartyDemographicValue.value(Income Level),Party.Party Demographic.PartyDemographicValue.value(Education),Individual.maritalStatus (Family Structure),Location.Geographic Place.GeographicState.name,Age Group,VIP Group,No Of Lines,Usage From Period,Usage To Period,Product.Networkproduct.ConsumptionSummary.value (Data Upload (In GB)),Product.Networkproduct.ConsumptionSummary.value (Data Download (In GB)),Product.Networkproduct.ConsumptionSummary.value Voice (in Minutes),Product.Networkproduct.ConsumptionSummary.value (SMS (In Numbers)),Product.Networkproduct.ConsumptionSummary.value (International Roaming Voice (In Minutes),Product.Networkproduct.ConsumptionSummary.value (International Roaming Data Upload (In GB)),Product.Networkproduct.ConsumptionSummary.value (International Romaing Data Download (In GB)),Product.Networkproduct.ConsumptionSummary.value (International Romaing SMS),Product.Networkproduct.ConsumptionSummary.value (Consumed OTT usage (In GB)),Product.Networkproduct.ConsumptionSummary.value (Cloud Storage),"Rating Group (Google, Youtube)",At Risk Customer(Based on usage or behaviour patterns),Number of Compaints Raised,Churn Category,Reason Of Churn,Churn Status,Churn Score,CLTV,Contract,Satisfaction Score (Out of 5)
OMHZ-CB7CO,9146338935,POCH034,voice and data,Infinite Ultimate,prepaid,Military and veterans,Family & CUG,67.5,35,15-Mar-22,05-Sep-24,30,Inactive,6,34,Female,Low,High School,Single,Los Angeles,Young,N,3,01-Jan-25,31-Jan-25,8.64,28.28,55,47,0,0.00,0.00,0,4.46,0,Google,No,4,Price Sensitive,Price sensitivity,Churned,71,1727,N,3
4GVD-MZLO2,9144426559,POCH025,voice and data,Infinite Ultimate,prepaid,General,Family & CUG,65,35,12-Jan-22,01-Jun-24,29,Inactive,10,43,Male,High,Professional,Married,Las Vegas,Middle Aged,Y,3,01-Jan-25,31-Jan-25,18.05,73.95,758,171,0,0.00,0.00,0,7.38,0,Google,No,7,Customer Service,Multiple unresolved complaints and poor customer service,Churned,76,6450,N,2
EJ30-1DPIJ,9151299569,POCH034,voice and data,Infinite Ultimate,prepaid,Military and veterans,Family & CUG,67.5,35,18-Nov-23,16-Nov-24,12,Inactive,4,26,Male,High,College,Married,Rural California,Young,Y,1,01-Jan-25,31-Jan-25,27.54,103.91,286,52,0,0.00,0.00,0,19.76,0,Youtube,No,5,Network Quality,Network coverage and speed issues in their location,Churned,88,9654,N,3
297C-HZ0F0,9174874853,POCH045,voice and data,5GB Plan,prepaid,General,Individual,40,35,06-Jan-22,20-Jul-24,30,Inactive,8,32,Female,Medium,College,Married,New York,Young,N,3,01-Jan-25,31-Jan-25,18.11,92.84,300,80,76,1.58,1.29,31,23.16,0,Google,No,3,Feature Deficiency,Competitor offered better streaming quality and international options,Churned,96,5052,N,2
YPKZ-UVUHW,9163657806,POCH034,voice and data,Infinite Ultimate,prepaid,Military and veterans,Family & CUG,67.5,35,26-Jan-23,01-Jun-24,16,Inactive,10,32,Female,High,Professional,Family,Las Vegas,Young,Y,4,01-Jan-25,31-Jan-25,14.16,96.14,729,165,0,0.00,0.00,0,16.44,0,Google,No,7,Customer Service,Multiple unresolved complaints and poor customer service,Churned,86,7929,N,2
03AP-L1Q33,9167738944,POCH011,voice and data,Infinite Plus,prepaid,Military and veterans,Individual,70,35,03-May-23,09-Jan-25,20,Inactive,2,35,Female,Medium,College,Married,Dallas,Middle Aged,N,4,01-Jan-25,31-Jan-25,6.64,19.21,80,18,0,0.00,0.00,0,3.91,0,Google,No,5,Price Sensitive,Price sensitivity,Churned,83,5633,N,2
L02M-TO608,9150642655,POCH019,voice and data,Infinite Plus,prepaid,First responders,Individual,70,35,28-May-22,13-Jan-25,32,Inactive,2,36,Male,High,College,Family,Rural Texas,Middle Aged,Y,2,01-Jan-25,31-Jan-25,17.47,108.21,294,68,0,0.00,0.00,0,15.86,0,Google,No,6,Network Quality,Network coverage and speed issues in their location,Churned,74,6230,N,1
UYOP-U9CQN,9117169036,POCH011,voice and data,Infinite Plus,prepaid,Military and veterans,Individual,70,35,02-May-22,06-Jan-25,32,Inactive,2,28,Male,Medium,College,Married,Los Angeles,Young,N,1,01-Jan-25,31-Jan-25,3.73,36.36,187,48,0,0.00,0.00,0,2.40,0,Youtube,No,2,Price Sensitive,Price sensitivity,Churned,96,3933,N,2
35HC-XPC4L,9182822987,POCH001,voice and data,Infinite Plus,prepaid,General,Individual,80,35,24-Aug-23,07-Oct-24,13,Inactive,5,49,Female,High,Professional,Family,Rural California,Middle Aged,Y,4,01-Jan-25,31-Jan-25,22.59,112.65,127,39,0,0.00,0.00,0,23.98,0,Youtube,No,2,Network Quality,Network coverage and speed issues in their location,Churned,86,9192,N,3
NM19-3Y207,9149871692,POCH045,voice and data,5GB Plan,prepaid,General,Individual,40,35,10-Jul-23,12-Sep-24,14,Inactive,6,41,Female,Medium,Professional,Married,Dallas,Middle Aged,N,3,01-Jan-25,31-Jan-25,12.64,109.68,430,47,31,0.96,7.65,16,21.52,0,Youtube,No,1,Feature Deficiency,Competitor offered better streaming quality and international options,Churned,92,5458,N,3
