account_id,msisdn,churn_status,profile_type,insight
U89Z-QHT9B,9180882698,Churned,Network Quality,"**Network Quality Churn Insight:** This high-value customer ($8571 CLTV) churned despite subscribing to Operator B (Champion)'s premium ""Infinite Ultimate"" plan due to network issues in Rural Texas. Their extremely high data usage (139.33GB download) and significant OTT consumption (21.44GB) suggests streaming and connectivity problems in their area. They likely switched to Operator T's ""Go5G Next"" which offers better network coverage in rural areas."
G34G-C1BQ5,9185267653,Churned,Price Sensitive,"**Price-Sensitive Churn Insight:** Customer churned from Operator B (Champion)'s ""Infinite Ultimate"" ($56.67) due to price sensitivity. Analysis suggests they likely switched to Operator D's ""Truly Unlimited +"" which offers $65.00 monthly savings while still providing sufficient data for their usage pattern (35.94GB monthly)."
NNW0-YKYGB,9162239851,Churned,Price Sensitive,"**Price-Sensitive Churn Insight:** Customer churned from Operator B (Champion)'s ""Infinite Ultimate"" ($80) due to price sensitivity. Analysis suggests they likely switched to Operator D's ""Truly Unlimited +"" which offers $65.00 monthly savings while still providing sufficient data for their usage pattern (26.05GB monthly)."
VYOJ-QISYO,9116393406,Churned,Network Quality,"**Network Quality Churn Insight:** This high-value customer ($7405 CLTV) churned despite subscribing to Operator B (Champion)'s premium ""Infinite Plus"" plan due to network issues in Rural California. Their extremely high data usage (80.07GB download) and significant OTT consumption (23.64GB) suggests streaming and connectivity problems in their area. They likely switched to Operator T's ""Go5G Next"" which offers better network coverage in rural areas."
SZ6X-Z32KB,9102239302,Churned,Price Sensitive,"**Price-Sensitive Churn Insight:** Customer churned from Operator B (Champion)'s ""Infinite Ultimate"" ($56.67) due to price sensitivity. Analysis suggests they likely switched to Operator D's ""Truly Unlimited +"" which offers $65.00 monthly savings while still providing sufficient data for their usage pattern (43.65GB monthly)."
T4MC-X2KKL,9190624223,Churned,Price Sensitive,"**Price-Sensitive Churn Insight:** Customer churned from Operator B (Champion)'s ""Infinite Ultimate"" ($56.67) due to price sensitivity. Analysis suggests they likely switched to Operator D's ""Truly Unlimited +"" which offers $65.00 monthly savings while still providing sufficient data for their usage pattern (30.11GB monthly)."
YYGQ-7KLVZ,9109417362,Churned,Network Quality,"**Network Quality Churn Insight:** This high-value customer ($4706 CLTV) churned despite subscribing to Operator B (Champion)'s premium ""Infinite Ultimate"" plan due to network issues in Rural Texas. Their extremely high data usage (95.43GB download) and significant OTT consumption (15.18GB) suggests streaming and connectivity problems in their area. They likely switched to Operator T's ""Go5G Next"" which offers better network coverage in rural areas."
M6NR-66DNB,9186811539,Churned,Network Quality,"**Network Quality Churn Insight:** This high-value customer ($5842 CLTV) churned despite subscribing to Operator B (Champion)'s premium ""Infinite Plus"" plan due to network issues in Rural Texas. Their extremely high data usage (84.40GB download) and significant OTT consumption (28.97GB) suggests streaming and connectivity problems in their area. They likely switched to Operator T's ""Go5G Next"" which offers better network coverage in rural areas."
1FC4-0ZIJT,9116293648,Churned,Price Sensitive,"**Price-Sensitive Churn Insight:** Customer churned from Operator B (Champion)'s ""Infinite Ultimate"" ($56.67) due to price sensitivity. Analysis suggests they likely switched to Operator D's ""Truly Unlimited +"" which offers $65.00 monthly savings while still providing sufficient data for their usage pattern (31.07GB monthly)."
4Y3C-ZVJX9,9104056103,Churned,Price Sensitive,"**Price-Sensitive Churn Insight:** Customer churned from Operator B (Champion)'s ""Infinite Ultimate"" ($56.67) due to price sensitivity. Analysis suggests they likely switched to Operator D's ""Truly Unlimited +"" which offers $65.00 monthly savings while still providing sufficient data for their usage pattern (37.14GB monthly)."
QNAC-O7D00,9151248947,Churned,Feature Deficiency,"**Feature Deficiency Churn Insight:** Customer churned from Operator B (Champion)'s ""5GB Plan"" Individual plan due to feature limitations despite acceptable satisfaction score (3/5). Analysis shows heavy international usage (99 minutes, 2.41GB total international data) and high OTT consumption (13.62GB), suggesting they switched to Operator T's ""Go5G Plus Military"" which offers better streaming quality (4K UHD)."
KNIT-3V68Q,9180035274,Churned,Price Sensitive,"**Price-Sensitive Churn Insight:** Customer churned from Operator B (Champion)'s ""Infinite Ultimate"" ($55) due to price sensitivity. Analysis suggests they likely switched to Operator D's ""Truly Unlimited +"" which offers $65.00 monthly savings while still providing sufficient data for their usage pattern (43.79GB monthly)."
LKGG-XHNB7,9168888465,At Risk,At Risk,"**At-Risk Customer Insight:** This medium-value customer ($3791 CLTV) shows moderate churn risk (Score: 85) despite having no immediate issues. The moderate satisfaction score (3/5) and average complaints (3) indicate potential dissatisfaction with value received for the $57.5 price point for Operator B (Champion)'s ""Infinite Plus"" plan. Operator A's ""Operator A Unlimited 
Starter® SL"" offers $35.00 monthly savings with comparable features, making this customer vulnerable to targeted competitor offers."
3O52-F4CKY,9170996401,At Risk,At Risk,"**At-Risk Customer Insight:** This medium-value customer ($4881 CLTV) shows moderate churn risk (Score: 83) despite having no immediate issues. The moderate satisfaction score (2/5) and average complaints (1) indicate potential dissatisfaction with value received for the $70 price point for Operator B (Champion)'s ""Infinite Plus"" plan. Operator A's ""Operator A Unlimited 
Starter® SL"" offers $35.00 monthly savings with comparable features, making this customer vulnerable to targeted competitor offers."
FU4M-BF964,9173053414,At Risk,At Risk,"**At-Risk Customer Insight:** This medium-value customer ($4160 CLTV) shows moderate churn risk (Score: 80) despite having no immediate issues. The moderate satisfaction score (2/5) and average complaints (1) indicate potential dissatisfaction with value received for the $50 price point for Operator B (Champion)'s ""Infinite Ultimate"" plan. Operator A's ""Operator A Unlimited 
Starter® SL"" offers $30.00 monthly savings with comparable features, making this customer vulnerable to targeted competitor offers."
LB4B-J1HFZ,9185161257,Not Churned,Loyal Customer,"**Loyal Customer Insight:** This high-value family & cug plan customer ($4698 CLTV) shows strong loyalty indicators with excellent satisfaction (5/5) and minimal complaints (1) despite heavy usage across all services. They fully utilize the premium features of Operator B (Champion)'s ""Infinite Ultimate"" plan including high data consumption (141.55GB), international usage, and extensive OTT streaming (27.69GB). Our analysis indicates they value the optimum combination of price and features in our 'Best Value' plan, which competitors cannot easily match."
4QWV-DQA9N,9129780191,Not Churned,Loyal Customer,"**Loyal Customer Insight:** This high-value individual plan customer ($11209 CLTV) shows strong loyalty indicators with excellent satisfaction (4/5) and minimal complaints (0) despite heavy usage across all services. They fully utilize the premium features of Operator B (Champion)'s ""Infinite Ultimate"" plan including high data consumption (177.78GB), international usage, and extensive OTT streaming (36.26GB). Our analysis indicates they value the optimum combination of price and features in our 'Best Value' plan, which competitors cannot easily match."
C4YV-HM0XR,9157793371,Not Churned,Loyal Customer,"**Loyal Customer Insight:** This high-value family & cug plan customer ($5395 CLTV) shows strong loyalty indicators with excellent satisfaction (5/5) and minimal complaints (0) despite heavy usage across all services. They fully utilize the premium features of Operator B (Champion)'s ""Infinite Ultimate"" plan including high data consumption (114.77GB), international usage, and extensive OTT streaming (16.29GB). Our analysis indicates they value the optimum combination of price and features in our 'Best Value' plan, which competitors cannot easily match."
TLUZ-9HDWP,9157865491,At Risk,At Risk,"**At-Risk Customer Insight:** This medium-value customer ($5760 CLTV) shows moderate churn risk (Score: 74) despite having no immediate issues. The moderate satisfaction score (2/5) and average complaints (1) indicate potential dissatisfaction with value received for the $56.67 price point for Operator B (Champion)'s ""Infinite Ultimate"" plan. Operator A's ""Operator A Unlimited 
Starter® SL"" offers $30.00 monthly savings with comparable features, making this customer vulnerable to targeted competitor offers."
54UU-VHCTC,9164401742,Churned,Price Sensitive,"**Price-Sensitive Churn Insight:** Customer churned from Operator B (Champion)'s ""100GB Plan"" ($80) due to price sensitivity. Analysis suggests they likely switched to Operator D's ""Truly Unlimited +"" which offers $55.00 monthly savings while still providing sufficient data for their usage pattern (26.69GB monthly)."
B6FB-KCLHL,9176607209,Churned,Customer Service,"**Customer Service Churn Insight:** This customer churned primarily due to service quality issues, evidenced by the extremely low satisfaction score (1/5) and high number of complaints (7) over a 20-month relationship. Despite subscribing to Operator B (Champion)'s premium ""Infinite Ultimate"" plan, they likely switched to Operator T's ""Go5G Plus"" which offers better customer service."
H91V-RKZPQ,9156194709,Churned,Network Quality,"**Network Quality Churn Insight:** This high-value customer ($11117 CLTV) churned despite subscribing to Operator B (Champion)'s premium ""Infinite Ultimate"" plan due to network issues in Rural California. Their extremely high data usage (88.54GB download) and significant OTT consumption (19.39GB) suggests streaming and connectivity problems in their area. They likely switched to Operator T's ""Go5G Next"" which offers better network coverage in rural areas."
RL8P-A3WUA,9129434502,Not Churned,Loyal Customer,"**Loyal Customer Insight:** This high-value individual plan customer ($3088 CLTV) shows strong loyalty indicators with excellent satisfaction (4/5) and minimal complaints (0) despite heavy usage across all services. They fully utilize the premium features of Operator B (Champion)'s ""Infinite Ultimate"" plan including high data consumption (197.29GB), international usage, and extensive OTT streaming (23.54GB). Our analysis indicates they value the optimum combination of price and features in our 'Best Value' plan, which competitors cannot easily match."
T5AT-JYF1S,9111059092,Not Churned,Loyal Customer,"**Loyal Customer Insight:** This high-value family & cug plan customer ($3684 CLTV) shows strong loyalty indicators with excellent satisfaction (5/5) and minimal complaints (0) despite heavy usage across all services. They fully utilize the premium features of Operator B (Champion)'s ""Infinite Ultimate"" plan including high data consumption (171.03GB), international usage, and extensive OTT streaming (26.63GB). Our analysis indicates they value the optimum combination of price and features in our 'Best Value' plan, which competitors cannot easily match."
1YKE-KHUPE,9161446955,Churned,Customer Service,"**Customer Service Churn Insight:** This customer churned primarily due to service quality issues, evidenced by the extremely low satisfaction score (1/5) and high number of complaints (5) over a 10-month relationship. Despite subscribing to Operator B (Champion)'s premium ""Infinite Plus"" plan, they likely switched to Operator T's ""Go5G Plus"" which offers better customer service."
FM0Z-FUR5T,9154837909,At Risk,At Risk,"**At-Risk Customer Insight:** This medium-value customer ($5024 CLTV) shows moderate churn risk (Score: 78) despite having no immediate issues. The moderate satisfaction score (2/5) and average complaints (3) indicate potential dissatisfaction with value received for the $57.5 price point for Operator B (Champion)'s ""Infinite Plus"" plan. Operator A's ""Operator A Unlimited 
Starter® SL"" offers $35.00 monthly savings with comparable features, making this customer vulnerable to targeted competitor offers."
SBL8-6FDG9,9153044168,Churned,Feature Deficiency,"**Feature Deficiency Churn Insight:** Customer churned from Operator B (Champion)'s ""5GB Plan"" Individual plan due to feature limitations despite acceptable satisfaction score (2/5). Analysis shows heavy international usage (24 minutes, 5.29GB total international data) and high OTT consumption (24.25GB), suggesting they switched to Operator T's ""Go5G Plus Military"" which offers better streaming quality (4K UHD)."
VDUW-866NT,9158124816,Not Churned,Loyal Customer,"**Loyal Customer Insight:** This high-value family & cug plan customer ($9075 CLTV) shows strong loyalty indicators with excellent satisfaction (4/5) and minimal complaints (1) despite heavy usage across all services. They fully utilize the premium features of Operator B (Champion)'s ""Infinite Ultimate"" plan including high data consumption (93.64GB), international usage, and extensive OTT streaming (34.93GB). Our analysis indicates they value the optimum combination of price and features in our 'Best Value' plan, which competitors cannot easily match."
