account_id,msisdn,churn_status,profile_type,insight
YBBX-PLFB2,9184932665,Churned,Price Sensitive,"**Price-Sensitive Churn Insight:** Customer churned from Operator B (Champion)'s ""Infinite Ultimate"" ($50) due to price sensitivity. Analysis suggests they likely switched to Operator D's ""Truly Unlimited +"" which offers $65.00 monthly savings while still providing sufficient data for their usage pattern (22.53GB monthly)."
YII3-N2MA6,9101475944,Churned,Price Sensitive,"**Price-Sensitive Churn Insight:** Customer churned from Operator B (Champion)'s ""Infinite Plus"" ($70) due to price sensitivity. Analysis suggests they likely switched to Operator D's ""Truly Unlimited +"" which offers $55.00 monthly savings while still providing sufficient data for their usage pattern (23.36GB monthly)."
Y6IL-JGOQ3,9131499313,Churned,Network Quality,"**Network Quality Churn Insight:** This high-value customer ($4679 CLTV) churned despite subscribing to Operator B (Champion)'s premium ""Infinite Ultimate"" plan due to network issues in Rural Texas. Their extremely high data usage (107.90GB download) and significant OTT consumption (17.17GB) suggests streaming and connectivity problems in their area. They likely switched to Operator T's ""Go5G Next"" which offers better network coverage in rural areas."
677V-6VK2R,9149317268,Churned,Price Sensitive,"**Price-Sensitive Churn Insight:** Customer churned from Operator B (Champion)'s ""Infinite Ultimate"" ($67.5) due to price sensitivity. Analysis suggests they likely switched to Operator D's ""Truly Unlimited +"" which offers $65.00 monthly savings while still providing sufficient data for their usage pattern (32.16GB monthly)."
HGA9-NDZB5,9142209457,Churned,Feature Deficiency,"**Feature Deficiency Churn Insight:** Customer churned from Operator B (Champion)'s ""5GB Plan"" Individual plan due to feature limitations despite acceptable satisfaction score (2/5). Analysis shows heavy international usage (56 minutes, 2.34GB total international data) and high OTT consumption (15.15GB), suggesting they switched to Operator T's ""Go5G Plus Military"" which offers better streaming quality (4K UHD)."
J5IN-VKXOD,9110223038,Churned,Network Quality,"**Network Quality Churn Insight:** This high-value customer ($6511 CLTV) churned despite subscribing to Operator B (Champion)'s premium ""Infinite Ultimate"" plan due to network issues in Rural Texas. Their extremely high data usage (137.74GB download) and significant OTT consumption (17.42GB) suggests streaming and connectivity problems in their area. They likely switched to Operator T's ""Go5G Next"" which offers better network coverage in rural areas."
KRU7-VYSEG,9132408496,Churned,Network Quality,"**Network Quality Churn Insight:** This high-value customer ($11364 CLTV) churned despite subscribing to Operator B (Champion)'s premium ""Infinite Ultimate"" plan due to network issues in Rural California. Their extremely high data usage (102.64GB download) and significant OTT consumption (29.39GB) suggests streaming and connectivity problems in their area. They likely switched to Operator T's ""Go5G Next"" which offers better network coverage in rural areas."
JQCF-75WEY,9110906030,Churned,Feature Deficiency,"**Feature Deficiency Churn Insight:** Customer churned from Operator B (Champion)'s ""5GB Plan"" Individual plan due to feature limitations despite acceptable satisfaction score (3/5). Analysis shows heavy international usage (66 minutes, 5.07GB total international data) and high OTT consumption (10.07GB), suggesting they switched to Operator T's ""Go5G Plus Military"" which offers better streaming quality (4K UHD)."
VBOR-VFRSS,9166847381,Churned,Price Sensitive,"**Price-Sensitive Churn Insight:** Customer churned from Operator B (Champion)'s ""Infinite Ultimate"" ($80) due to price sensitivity. Analysis suggests they likely switched to Operator D's ""Truly Unlimited +"" which offers $65.00 monthly savings while still providing sufficient data for their usage pattern (21.36GB monthly)."
4TVH-LCTFB,9115769262,Churned,Network Quality,"**Network Quality Churn Insight:** This high-value customer ($4076 CLTV) churned despite subscribing to Operator B (Champion)'s premium ""Infinite Plus"" plan due to network issues in Rural California. Their extremely high data usage (90.82GB download) and significant OTT consumption (15.59GB) suggests streaming and connectivity problems in their area. They likely switched to Operator T's ""Go5G Next"" which offers better network coverage in rural areas."
